"","ServiceAddressStreetNumber","ServiceAddressStreetName","PREMISESALESCLASSDESC","Sales Class","Active/Inactive","SW StatusCode","Status Code","BILLABLEIMPERVIOUSACRES","PARCELSIZE","IMPERVIOUSSIZE","ACCOUNTTAXTYPE","Tax Description","Customer Class","BILLINGCYCLENUMBER","PREMISECYCLENUMBER","Bunch Code","SW Last Billing Date","SW Last Amount Billed","SW Last Paid Date","SW Final Shut Off Date","WA Last Billing Date","WA Last Amount Billed","WA Last Paid Date","WA Final Shut Off Date","WA ActiveCode","WA ActiveCodeDesc","WA StatusCode","WA StatusDescription","WALANDLORDCODE","WAONWERTENANTFLAG","S-Current","S-30-60","S-60+","W-Current","W-30-60","W-60+","T-Current","T-30-60","T-60+","Total","61+ Days >150","61+ Days <150","Zero balance","Meter (Yes/No)","Status Code2","Breakdown","New Sales Class","Address"
"12","1300","MILITARY ST","CITY COMMERCIAL","COMMERCIAL","Active",60,"COLLECTION-INT",0.12,0.207,0.12,42,"STORM ONLY COMMERCIAL","DRAINAGE",33,33,NA,5192021,75.12,5052021,0,5192021,0,0,0,0,NA,60,NA,0,NA,75.12,75.12,613.04,0,0,0,75.12,75.12,613.04,763.28,1,0,1,"NO","COLLECTION-INT","B $500-$1000","DRAINAGE","1300 MILITARY ST"
"13","15300","PINEHURST ST","CITY CHURCH","FAITH BASED","Active",80,"STORM ONLY",1.78,2.91,1.78,27,"CHURCHES","TAX EXEMPT",17,17,NA,5132021,1114.28,5032021,0,5132021,0,0,0,0,NA,80,NA,0,"O",1114.28,0,18936.11,0,0,0,1114.28,0,18936.11,20050.39,1,0,1,"NO","OTHER","C $1000+","TAX EXEMPT","15300 PINEHURST ST"
"14","12000","CALDWELL ST","CITY COMMERCIAL","COMMERCIAL","Active",0,"NORMAL",4.19,7.5,4.19,42,"STORM ONLY COMMERCIAL","DRAINAGE",70,70,NA,5102021,2622.94,6012021,0,5102021,0,0,0,0,NA,0,NA,0,"O",2622.94,0,66870.68,0,0,0,2622.94,0,66870.68,69493.62,1,0,1,"NO","NORMAL","C $1000+","DRAINAGE","12000 CALDWELL ST"
"15","9900","LINWOOD ST","CITY COMMERCIAL","COMMERCIAL","Active",80,"STORM ONLY",0.17,0.178,0.17,42,"STORM ONLY COMMERCIAL","DRAINAGE",930,15,NA,5112021,106.42,5312021,0,5112021,0,0,0,0,NA,80,NA,0,"O",0,0,1959.06,0,0,0,0,0,1959.06,1959.06,1,0,1,"NO","OTHER","C $1000+","DRAINAGE","9900 LINWOOD ST"
"16","17800","CONANT ST","CITY INDUSTRIAL","INDUSTRIAL","Active",0,"NORMAL",0.56,0.688,0.56,41,"STORM ONLY INDUSTRIAL","DRAINAGE",72,72,NA,5102021,350.56,6012021,0,5102021,0,0,0,0,NA,0,NA,0,"O",350.56,0,3372.72,0,0,0,350.56,0,3372.72,3723.28,1,0,1,"NO","NORMAL","C $1000+","DRAINAGE","17800 CONANT ST"
"17","320","E 8 MILE RD","CITY COMMERCIAL","COMMERCIAL","Active",60,"COLLECTION-INT",0.15,0.166,0.15,42,"STORM ONLY COMMERCIAL","DRAINAGE",10,10,NA,5102021,93.9,5192021,0,5102021,0,0,0,0,NA,60,NA,0,NA,0,0,203.91,0,0,0,0,0,203.91,203.91,1,0,1,"NO","COLLECTION-INT","A $150-$500","DRAINAGE","320 E 8 MILE RD"
"18","1300","E STATE FAIR","CITY COMMERCIAL","COMMERCIAL","Active",80,"STORM ONLY",0.07,0.138,0.07,42,"STORM ONLY COMMERCIAL","DRAINAGE",930,10,NA,5102021,43.82,6012021,0,5102021,0,0,0,0,NA,80,NA,0,"O",43.82,0,954.37,0,0,0,43.82,0,954.37,998.19,1,0,1,"NO","OTHER","B $500-$1000","DRAINAGE","1300 E STATE FAIR"
"19","1800","ANTOINETTE ST","CITY INDUSTRIAL","INDUSTRIAL","Active",60,"COLLECTION-INT",10.92,19.51,10.92,41,"STORM ONLY INDUSTRIAL","DRAINAGE",14,14,NA,5112021,6835.92,5292021,0,5112021,0,0,0,0,NA,60,NA,0,"O",0,0,119492.09,0,0,0,0,0,119492.09,119492.09,1,0,1,"NO","COLLECTION-INT","C $1000+","DRAINAGE","1800 ANTOINETTE ST"
"20","1500","E LAFAYETTE ST","CITY COMMERCIAL","COMMERCIAL","Active",60,"COLLECTION-INT",3.51,3.696,3.51,42,"STORM ONLY COMMERCIAL","DRAINAGE",4,4,NA,5212021,2197.26,6022021,0,5212021,0,0,0,0,NA,60,NA,0,"O",2197.26,0,15218.22,0,0,0,2197.26,0,15218.22,17415.48,1,0,1,"NO","COLLECTION-INT","C $1000+","DRAINAGE","1500 E LAFAYETTE ST"
"21","670","PINGREE ST","CITY RESIDENTIAL","RESIDENTIAL","Active",80,"STORM ONLY",0.06,0.14,0.06,40,"STORM ONLY RESIDENTIAL","DRAINAGE",14,14,NA,5112021,28.17,5312021,0,5112021,0,0,0,0,NA,80,NA,0,"O",0,0,672.31,0,0,0,0,0,672.31,672.31,1,0,1,"NO","OTHER","B $500-$1000","DRAINAGE","670 PINGREE ST"
"22","120","MICHIGAN AVE","CITY COMMERCIAL","COMMERCIAL","Active",80,"STORM ONLY",0.06,0.069,0.06,42,"STORM ONLY COMMERCIAL","DRAINAGE",12,12,NA,5102021,37.56,5192021,0,5102021,0,0,0,0,NA,80,NA,0,NA,37.56,37.56,883.61,0,0,0,37.56,37.56,883.61,958.73,1,0,1,"NO","OTHER","B $500-$1000","DRAINAGE","120 MICHIGAN AVE"
"23","7700","MAJESTIC ST","CITY COMMERCIAL","COMMERCIAL","Active",80,"STORM ONLY",1.71,1.8,1.71,42,"STORM ONLY COMMERCIAL","DRAINAGE",920,920,NA,5102021,1070.46,5272021,0,5102021,0,0,0,0,NA,80,NA,0,"O",1070.46,694.14,1229.45,0,0,0,1070.46,694.14,1229.45,2994.05,1,0,1,"NO","OTHER","C $1000+","DRAINAGE","7700 MAJESTIC ST"
"24","6900","GREENFIELD RD","CITY COMMERCIAL","COMMERCIAL","Active",0,"NORMAL",0.59,0.605071,0.59,42,"STORM ONLY COMMERCIAL","DRAINAGE",920,920,NA,5102021,369.34,5142021,0,5102021,0,0,0,0,NA,0,NA,0,"O",695.85,387.81,108.02,0,0,0,695.85,387.81,108.02,1191.68,0,1,1,"NO","NORMAL","Other","DRAINAGE","6900 GREENFIELD RD"
"25","20200","GREENVIEW AVE","CITY RESIDENTIAL","RESIDENTIAL","Active",80,"STORM ONLY",0.07,0.16,0.07,40,"STORM ONLY RESIDENTIAL","DRAINAGE",919,919,NA,5102021,0,7132018,0,5102021,0,0,0,0,NA,80,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,"NO","OTHER","Other","DRAINAGE","20200 GREENVIEW AVE"
"26","18200","SORRENTO ST","CITY RESIDENTIAL","RESIDENTIAL","Active",80,"STORM ONLY",0.02,0.05,0.02,40,"STORM ONLY RESIDENTIAL","DRAINAGE",919,919,NA,5102021,9.39,5182021,0,5102021,0,0,0,0,NA,80,NA,0,"O",0,0,0,0,0,0,0,0,0,0,0,0,0,"NO","OTHER","Other","DRAINAGE","18200 SORRENTO ST"
"27","12400","MEYERS RD","CITY CHURCH","FAITH BASED","Active",80,"STORM ONLY",0.3,0.367,0.3,27,"CHURCHES","TAX EXEMPT",919,919,NA,5102021,112.5,5092021,0,5102021,0,0,0,0,NA,80,NA,0,"O",4,0,1434.71,0,0,0,4,0,1434.71,1438.71,1,0,1,"NO","OTHER","C $1000+","TAX EXEMPT","12400 MEYERS RD"
"28","17700","W MCNICHOLS RD","CITY COMMERCIAL","COMMERCIAL","Active",80,"STORM ONLY",0.04,0.046,0.04,42,"STORM ONLY COMMERCIAL","DRAINAGE",919,919,NA,5102021,25.04,5312021,0,5102021,0,0,0,0,NA,80,NA,0,"O",0,25.04,476.11,0,0,0,0,25.04,476.11,501.15,1,0,1,"NO","OTHER","A $150-$500","DRAINAGE","17700 W MCNICHOLS RD"
"29","20500","W GRAND RIVER","CITY COMMERCIAL","COMMERCIAL","Active",0,"NORMAL",0.03,0.038,0.03,42,"STORM ONLY COMMERCIAL","DRAINAGE",918,918,NA,5102021,18.78,9252019,0,5102021,0,0,0,0,NA,0,NA,0,NA,19.72,19.72,344.88,0,0,0,19.72,19.72,344.88,384.32,1,0,1,"NO","NORMAL","A $150-$500","DRAINAGE","20500 W GRAND RIVER"
"30","17000","W WARREN AVE","CITY COMMERCIAL","COMMERCIAL","Active",80,"STORM ONLY",0.04,0.046,0.04,42,"STORM ONLY COMMERCIAL","DRAINAGE",918,918,NA,5102021,25.04,6012021,0,5102021,0,0,0,0,NA,80,NA,0,"O",25.04,0,343.78,0,0,0,25.04,0,343.78,368.82,1,0,1,"NO","OTHER","A $150-$500","DRAINAGE","17000 W WARREN AVE"
"31","10200","KNODELL ST","CITY COMMERCIAL","COMMERCIAL","Active",80,"STORM ONLY",0.09,0.101,0.09,42,"STORM ONLY COMMERCIAL","DRAINAGE",916,916,NA,5102021,56.34,5122021,0,5102021,0,0,0,0,NA,80,NA,0,"O",0,56.34,934.44,0,0,0,0,56.34,934.44,990.78,1,0,1,"NO","OTHER","B $500-$1000","DRAINAGE","10200 KNODELL ST"
"32","4200","OAKMAN BLVD","CITY CHURCH","FAITH BASED","Active",80,"STORM ONLY",1.6,1.628,1.6,27,"CHURCHES","TAX EXEMPT",916,916,NA,5102021,600,6012021,0,5102021,0,0,0,0,NA,80,NA,0,"O",600,0,1535.18,0,0,0,600,0,1535.18,2135.18,1,0,1,"NO","OTHER","C $1000+","TAX EXEMPT","4200 OAKMAN BLVD"
"33","10800","CHICAGO BLVD","CITY COMMERCIAL","COMMERCIAL","Active",80,"STORM ONLY",0,0.161,0,42,"STORM ONLY COMMERCIAL","DRAINAGE",916,916,NA,5102021,0,5312021,0,5102021,0,0,0,0,NA,80,NA,0,"O",0,0,516.6,0,0,0,0,0,516.6,516.6,1,0,1,"NO","OTHER","B $500-$1000","DRAINAGE","10800 CHICAGO BLVD"
"34","10600","JOY RD","CITY COMMERCIAL","COMMERCIAL","Active",0,"NORMAL",0.24,0.328,0.24,42,"STORM ONLY COMMERCIAL","DRAINAGE",916,916,NA,5102021,150.24,5172021,0,5102021,0,0,0,0,NA,0,NA,0,"O",0,0,1213.92,0,0,0,0,0,1213.92,1213.92,1,0,1,"NO","NORMAL","C $1000+","DRAINAGE","10600 JOY RD"
"35","8100","HARPER AVE","CITY COMMERCIAL","COMMERCIAL","Active",80,"STORM ONLY",0.1,0.113,0.1,42,"STORM ONLY COMMERCIAL","DRAINAGE",915,915,NA,5102021,62.6,5312021,0,5102021,0,0,0,0,NA,80,NA,0,"O",0,62.6,473.61,0,0,0,0,62.6,473.61,536.21,1,0,1,"NO","OTHER","A $150-$500","DRAINAGE","8100 HARPER AVE"
"36","11600","CLOVERDALE ST","CITY CHURCH","FAITH BASED","Active",80,"STORM ONLY",0.87,0.905,0.87,27,"CHURCHES","TAX EXEMPT",915,915,NA,5102021,326.25,5262021,0,5102021,0,0,0,0,NA,80,NA,0,"O",0,0,1439.6,0,0,0,0,0,1439.6,1439.6,1,0,1,"NO","OTHER","C $1000+","TAX EXEMPT","11600 CLOVERDALE ST"
"37","2400","SCOTTEN AVE","CITY COMMERCIAL","COMMERCIAL","Active",59,"LEGAL INTERNAL",5.89,6.73,5.89,42,"STORM ONLY COMMERCIAL","DRAINAGE",913,913,NA,5102021,3687.14,5242021,0,5102021,0,0,0,0,NA,59,NA,0,NA,0,0,44483.98,0,0,0,0,0,44483.98,44483.98,1,0,1,"NO","LEGAL INTERNAL","C $1000+","DRAINAGE","2400 SCOTTEN AVE"
"38","6000","E MCNICHOLS RD","CITY COMMERCIAL","COMMERCIAL","Active",80,"STORM ONLY",0.43,0.592,0.43,42,"STORM ONLY COMMERCIAL","DRAINAGE",913,913,NA,5102021,269.18,5312021,0,5102021,0,0,0,0,NA,80,NA,0,"O",0,269.18,4331.35,0,0,0,0,269.18,4331.35,4600.53,1,0,1,"NO","OTHER","C $1000+","DRAINAGE","6000 E MCNICHOLS RD"
"39","5200","WABASH ST","CITY INDUSTRIAL","INDUSTRIAL","Active",80,"STORM ONLY",0.68,0.699,0.68,41,"STORM ONLY INDUSTRIAL","DRAINAGE",912,912,NA,5102021,425.68,5252021,0,5102021,0,7212017,0,0,NA,80,NA,0,"O",0,0,2860.55,0,0,0,0,0,2860.55,2860.55,1,0,1,"NO","OTHER","C $1000+","DRAINAGE","5200 WABASH ST"
"40","2900","E GRAND BLVD","CITY INDUSTRIAL","INDUSTRIAL","Active",80,"STORM ONLY",0.47,0.479,0.47,41,"STORM ONLY INDUSTRIAL","DRAINAGE",910,910,NA,5102021,294.22,6012021,0,5102021,0,0,0,0,NA,80,NA,0,"O",294.22,0,3033.68,0,0,0,294.22,0,3033.68,3327.9,1,0,1,"NO","OTHER","C $1000+","DRAINAGE","2900 E GRAND BLVD"
"41","3600","MARYLAND ST","CITY RESIDENTIAL","RESIDENTIAL","Active",0,"NORMAL",0.05,0.15,0.05,0,"RESIDENTIAL","RESIDENTIAL",1003,1003,NA,5272021,50.66,5242021,0,5272021,32.42,5242021,0,0,NA,0,NA,0,"O",50.66,0,333.06,32.42,0,181.8,83.08,0,514.86,597.94,1,0,1,"YES","NORMAL","B $500-$1000","RESIDENTIAL","3600 MARYLAND ST"
"42","4100","MARYLAND ST","CITY RESIDENTIAL","RESIDENTIAL","Active",0,"NORMAL",0.04,0.14,0.04,0,"RESIDENTIAL","RESIDENTIAL",1003,1003,NA,5272021,53.85,5062021,0,5272021,24.6,5062021,0,0,NA,0,NA,0,"O",53.85,0,25.44,24.6,0,21.69,78.45,0,47.13,125.58,0,1,1,"YES","NORMAL","Other","RESIDENTIAL","4100 MARYLAND ST"
"43","4300","LAKEPOINTE ST","CITY RESIDENTIAL","RESIDENTIAL","Active",0,"NORMAL",0,0,0,0,"RESIDENTIAL","RESIDENTIAL",1003,1003,NA,5272021,21.48,5192021,0,5272021,37.53,5192021,0,0,NA,0,NA,0,"O",21.48,0,1222.8,37.53,0,805.36,59.01,0,2028.16,2087.17,1,0,1,"YES","NORMAL","C $1000+","RESIDENTIAL","4300 LAKEPOINTE ST"
"44","4400","LAKEPOINTE ST","CITY RESIDENTIAL","RESIDENTIAL","Active",0,"NORMAL",0.05,0.15,0.05,0,"RESIDENTIAL","RESIDENTIAL",1003,1003,NA,5272021,50.66,5122021,0,5272021,32.42,5122021,0,0,NA,0,NA,0,"O",50.66,0,759.4,32.42,0,340.51,83.08,0,1099.91,1182.99,1,0,1,"YES","NORMAL","C $1000+","RESIDENTIAL","4400 LAKEPOINTE ST"
"45","4200","MARYLAND ST","CITY RESIDENTIAL","RESIDENTIAL","Active",0,"NORMAL",0.05,0.15,0.05,0,"RESIDENTIAL","RESIDENTIAL",1003,1003,NA,5272021,39.25,5132021,0,5272021,27.21,5132021,0,0,NA,0,NA,0,"O",39.25,0,200.03,27.21,0,85.05,66.46,0,285.08,351.54,1,0,1,"YES","NORMAL","A $150-$500","RESIDENTIAL","4200 MARYLAND ST"
"46","4200","WAYBURN ST","CITY RESIDENTIAL","RESIDENTIAL","Active",0,"NORMAL",0.03,0.11,0.03,0,"RESIDENTIAL","RESIDENTIAL",1003,1003,NA,5272021,60.56,0,0,5272021,37.53,0,0,0,NA,0,NA,0,"O",60.56,45.9,480.36,37.53,31.32,319.46,98.09,77.22,799.82,975.13,1,0,1,"YES","NORMAL","B $500-$1000","RESIDENTIAL","4200 WAYBURN ST"
"47","5500","WAYBURN ST","CITY RESIDENTIAL","RESIDENTIAL","Active",0,"NORMAL",0.06,0.09,0.06,0,"RESIDENTIAL","RESIDENTIAL",1003,1003,NA,5272021,91.77,9242019,0,5272021,33.79,9242019,0,0,NA,0,NA,0,"T",91.77,61.06,1569.31,33.79,31.18,765.11,125.56,92.24,2334.42,2552.22,1,0,1,"YES","NORMAL","C $1000+","RESIDENTIAL","5500 WAYBURN ST"
"48","15000","HARPER AVE","CITY COMMERCIAL","COMMERCIAL","Active",0,"NORMAL",0.04,0.046,0.04,1,"COMMERCIAL","COMMERCIAL",85,85,NA,5192021,36.76,5102021,0,5192021,11.56,5102021,0,0,NA,0,NA,0,"O",36.76,0,178.56,11.56,0,281.29,48.32,0,459.85,508.17,1,0,1,"YES","NORMAL","A $150-$500","COMMERCIAL","15000 HARPER AVE"
"49","4800","MARYLAND ST","CITY RESIDENTIAL","RESIDENTIAL","Active",0,"NORMAL",0.05,0.09,0.05,0,"RESIDENTIAL","RESIDENTIAL",1003,1003,NA,5272021,81.36,5112021,0,5272021,31.18,5112021,0,0,NA,0,NA,0,"T",81.36,52.83,1373.61,31.18,18.14,507.55,112.54,70.97,1881.16,2064.67,1,0,1,"YES","NORMAL","C $1000+","RESIDENTIAL","4800 MARYLAND ST"
"50","5200","MARYLAND ST","CITY RESIDENTIAL","RESIDENTIAL","Active",0,"NORMAL",0.05,0.12,0.05,0,"RESIDENTIAL","RESIDENTIAL",85,85,NA,5192021,75.66,5192021,0,5192021,28.57,5192021,0,0,NA,0,NA,0,"O",73.41,0,0,27.72,0,0,101.13,0,0,101.13,0,0,1,"YES","NORMAL","Other","RESIDENTIAL","5200 MARYLAND ST"
"51","4800","LAKEPOINTE ST","CITY RESIDENTIAL","RESIDENTIAL","Active",0,"NORMAL",0.05,0.08,0.05,0,"RESIDENTIAL","RESIDENTIAL",85,85,NA,5192021,23.47,5242021,0,5192021,0,6102008,0,0,NA,0,NA,0,"O",23.47,23.47,513.36,0,0,40,23.47,23.47,553.36,600.3,1,0,1,"YES","NORMAL","B $500-$1000","RESIDENTIAL","4800 LAKEPOINTE ST"
"52","5900","BEACONSFIELD ST","CITY RESIDENTIAL","RESIDENTIAL","Active",0,"NORMAL",0.04,0.19,0.04,0,"RESIDENTIAL","RESIDENTIAL",1003,1003,NA,5272021,36.73,3092020,0,5272021,12.93,3092020,0,0,NA,0,NA,0,"O",36.73,31.03,671.5,12.93,10.32,282.37,49.66,41.35,953.87,1044.88,1,0,1,"YES","NORMAL","B $500-$1000","RESIDENTIAL","5900 BEACONSFIELD ST"
"53","5500","NOTTINGHAM RD","CITY RESIDENTIAL","RESIDENTIAL","Active",0,"NORMAL",0.06,0.11,0.06,0,"RESIDENTIAL","RESIDENTIAL",1003,1003,NA,5272021,126.01,5282021,0,5272021,53.29,5282021,0,0,NA,0,NA,0,"O",132.31,132.03,3528.2,55.95,55.82,1606.73,188.26,187.85,5134.93,5511.04,1,0,1,"YES","NORMAL","C $1000+","RESIDENTIAL","5500 NOTTINGHAM RD"
"54","4600","NOTTINGHAM RD","CITY RESIDENTIAL","RESIDENTIAL","Active",0,"NORMAL",0.07,0.11,0.07,0,"RESIDENTIAL","RESIDENTIAL",1003,1003,NA,5272021,107.87,5182021,0,5272021,39.01,5182021,0,0,NA,0,NA,0,"O",107.87,101,270.23,39.01,35.35,98.2,146.88,136.35,368.43,651.66,1,0,1,"YES","NORMAL","A $150-$500","RESIDENTIAL","4600 NOTTINGHAM RD"
"55","15600","MACK AVE","CITY COMMERCIAL","COMMERCIAL","Active",0,"NORMAL",0.09,0.101,0.09,1,"COMMERCIAL","COMMERCIAL",85,85,NA,5192021,68.06,5072021,0,5192021,11.56,5072021,0,0,NA,60,NA,0,"O",71.46,68.06,329.9,12.14,11.56,54.24,83.6,79.62,384.14,547.36,1,0,1,"YES","NORMAL","A $150-$500","COMMERCIAL","15600 MACK AVE"
"56","4100","SOMERSET AVE","CITY RESIDENTIAL","RESIDENTIAL","Active",0,"NORMAL",0.05,0.11,0.05,0,"RESIDENTIAL","RESIDENTIAL",85,85,NA,5192021,41.42,5122021,0,5192021,12.93,5122021,0,0,NA,0,NA,0,"O",41.42,0,594.28,12.93,0,198.82,54.35,0,793.1,847.45,1,0,1,"YES","NORMAL","B $500-$1000","RESIDENTIAL","4100 SOMERSET AVE"
"57","3500","NOTTINGHAM RD","CITY RESIDENTIAL","RESIDENTIAL","Active",0,"NORMAL",0,0.11,0.07,0,"RESIDENTIAL","RESIDENTIAL",85,85,NA,5192021,12.25,5292021,0,5192021,14.17,5292021,0,0,NA,0,NA,0,"O",0,0,251.64,0,0,120.03,0,0,371.67,371.67,1,0,1,"YES","NORMAL","A $150-$500","RESIDENTIAL","3500 NOTTINGHAM RD"
"58","3600","NOTTINGHAM RD","CITY RESIDENTIAL","RESIDENTIAL","Active",0,"NORMAL",0.06,0.11,0.06,0,"RESIDENTIAL","RESIDENTIAL",1003,1003,NA,5272021,63.24,5022021,0,5272021,20.75,5022021,0,0,NA,0,NA,0,"O",63.24,0,150.58,20.75,0,27.06,83.99,0,177.64,261.63,1,0,1,"YES","NORMAL","A $150-$500","RESIDENTIAL","3600 NOTTINGHAM RD"
"59","4700","SOMERSET AVE","CITY RESIDENTIAL","RESIDENTIAL","Active",0,"NORMAL",0.04,0.11,0.04,0,"RESIDENTIAL","RESIDENTIAL",1003,1003,NA,5272021,53.85,5132021,0,5272021,20.75,5132021,0,0,NA,0,NA,0,"O",53.85,0,87.98,20.75,0,19.13,74.6,0,107.11,181.71,0,1,1,"YES","NORMAL","Other","RESIDENTIAL","4700 SOMERSET AVE"
"60","5200","SOMERSET AVE","CITY RESIDENTIAL","RESIDENTIAL","Active",0,"NORMAL",0.07,0.17,0.07,0,"RESIDENTIAL","RESIDENTIAL",85,85,NA,5192021,56.52,5062021,0,5192021,19.38,5062021,0,0,NA,0,NA,0,"O",56.52,0,181.02,19.38,0,101.5,75.9,0,282.52,358.42,1,0,1,"YES","NORMAL","A $150-$500","RESIDENTIAL","5200 SOMERSET AVE"
"61","5500","SOMERSET AVE","CITY RESIDENTIAL","RESIDENTIAL","Active",75,"COVID-19 PROGRAM",0.06,0.11,0.06,0,"RESIDENTIAL","RESIDENTIAL",1003,1003,NA,5272021,51.83,5072021,0,5272021,15.53,5072021,0,0,NA,75,NA,0,"O",51.83,171.65,2760.16,15.53,70.3,1007.23,67.36,241.95,3767.39,4076.7,1,0,1,"YES","OTHER","C $1000+","RESIDENTIAL","5500 SOMERSET AVE"
